,Date,Open,High,Low,Close*,Adj Close**,Volume
4840,"Feb 21, 2003",837.10,852.28,831.48,848.17,848.17,"1,398,200,000"
4841,"Feb 20, 2003",845.13,849.37,836.56,837.10,837.10,"1,194,100,000"
4842,"Feb 19, 2003",851.17,851.17,838.79,845.13,845.13,"1,075,600,000"
4843,"Feb 18, 2003",834.89,852.87,834.89,851.17,851.17,"1,250,800,000"
4844,"Feb 14, 2003",817.37,834.89,815.03,834.89,834.89,"1,404,600,000"
4845,"Feb 13, 2003",818.68,821.25,806.29,817.37,817.37,"1,489,300,000"
4846,"Feb 12, 2003",829.20,832.12,818.49,818.68,818.68,"1,260,500,000"
4847,"Feb 11, 2003",835.97,843.02,825.09,829.20,829.20,"1,307,000,000"
4848,"Feb 10, 2003",829.69,837.16,823.53,835.97,835.97,"1,238,200,000"
4849,"Feb 07, 2003",838.15,845.73,826.70,829.69,829.69,"1,276,800,000"
4850,"Feb 06, 2003",843.59,844.23,833.25,838.15,838.15,"1,430,900,000"
4851,"Feb 05, 2003",848.20,861.63,842.11,843.59,843.59,"1,450,800,000"
4852,"Feb 04, 2003",860.32,860.32,840.19,848.20,848.20,"1,451,600,000"
4853,"Feb 03, 2003",855.70,864.64,855.70,860.32,860.32,"1,258,500,000"
4854,"Jan 31, 2003",844.61,858.33,840.34,855.70,855.70,"1,578,530,000"
4855,"Jan 30, 2003",864.36,865.48,843.74,844.61,844.61,"1,510,300,000"
4856,"Jan 29, 2003",858.54,868.72,845.86,864.36,864.36,"1,595,400,000"
4857,"Jan 28, 2003",847.48,860.76,847.48,858.54,858.54,"1,459,100,000"
4858,"Jan 27, 2003",861.40,863.95,844.25,847.48,847.48,"1,435,900,000"
4859,"Jan 24, 2003",887.34,887.34,859.71,861.40,861.40,"1,574,800,000"
4860,"Jan 23, 2003",878.36,890.25,876.89,887.34,887.34,"1,744,550,000"
4861,"Jan 22, 2003",887.62,889.74,877.64,878.36,878.36,"1,560,800,000"
4862,"Jan 21, 2003",901.78,906.00,887.62,887.62,887.62,"1,335,200,000"
4863,"Jan 17, 2003",914.60,914.60,899.02,901.78,901.78,"1,358,200,000"
4864,"Jan 16, 2003",918.22,926.03,911.98,914.60,914.60,"1,534,600,000"
4865,"Jan 15, 2003",931.66,932.59,916.70,918.22,918.22,"1,432,100,000"
4866,"Jan 14, 2003",926.26,931.66,921.72,931.66,931.66,"1,379,400,000"
4867,"Jan 13, 2003",927.57,935.05,922.05,926.26,926.26,"1,396,300,000"
4868,"Jan 10, 2003",927.58,932.89,917.66,927.57,927.57,"1,485,400,000"
4869,"Jan 09, 2003",909.93,928.31,909.93,927.57,927.57,"1,560,300,000"
4870,"Jan 08, 2003",922.93,922.93,908.32,909.93,909.93,"1,467,600,000"
4871,"Jan 07, 2003",929.01,930.81,919.93,922.93,922.93,"1,545,200,000"
4872,"Jan 06, 2003",908.59,931.77,908.59,929.01,929.01,"1,435,900,000"
4873,"Jan 03, 2003",909.03,911.25,903.07,908.59,908.59,"1,130,800,000"
4874,"Jan 02, 2003",879.82,909.03,879.82,909.03,909.03,"1,229,200,000"
4875,"Dec 31, 2002",879.39,881.93,869.45,879.82,879.82,"1,088,500,000"
4876,"Dec 30, 2002",875.40,882.10,870.23,879.39,879.39,"1,057,800,000"
4877,"Dec 27, 2002",889.66,890.46,873.62,875.40,875.40,"758,400,000"
4878,"Dec 26, 2002",892.47,903.89,887.48,889.66,889.66,"721,100,000"
4879,"Dec 24, 2002",897.38,897.38,892.29,892.47,892.47,"458,310,000"
4880,"Dec 23, 2002",895.74,902.43,892.26,897.38,897.38,"1,112,100,000"
4881,"Dec 20, 2002",884.25,897.79,884.25,895.76,895.76,"1,782,730,000"
4882,"Dec 19, 2002",890.02,899.19,880.32,884.25,884.25,"1,385,900,000"
4883,"Dec 18, 2002",902.99,902.99,887.82,891.12,891.12,"1,446,200,000"
4884,"Dec 17, 2002",910.40,911.22,901.74,902.99,902.99,"1,251,800,000"
4885,"Dec 16, 2002",889.48,910.42,889.48,910.40,910.40,"1,271,600,000"
4886,"Dec 13, 2002",901.58,901.58,888.48,889.48,889.48,"1,330,800,000"
4887,"Dec 12, 2002",904.96,908.37,897.00,901.58,901.58,"1,255,300,000"
4888,"Dec 11, 2002",904.45,909.94,896.48,904.96,904.96,"1,285,100,000"
4889,"Dec 10, 2002",892.00,904.95,892.00,904.45,904.45,"1,286,600,000"
4890,"Dec 09, 2002",912.23,912.23,891.97,892.00,892.00,"1,320,800,000"
4891,"Dec 06, 2002",906.55,915.48,895.96,912.23,912.23,"1,241,100,000"
4892,"Dec 05, 2002",917.58,921.49,905.90,906.55,906.55,"1,250,200,000"
4893,"Dec 04, 2002",920.75,925.25,909.51,917.58,917.58,"1,588,900,000"
4894,"Dec 03, 2002",934.53,934.53,918.73,920.75,920.75,"1,488,400,000"
4895,"Dec 02, 2002",936.31,954.28,927.72,934.53,934.53,"1,612,000,000"
4896,"Nov 29, 2002",938.87,941.82,935.58,936.31,936.31,"643,460,000"
4897,"Nov 27, 2002",913.31,940.41,913.31,938.87,938.87,"1,350,300,000"
4898,"Nov 26, 2002",932.87,932.87,912.10,913.31,913.31,"1,543,600,000"
4899,"Nov 25, 2002",930.55,937.15,923.31,932.87,932.87,"1,574,000,000"
4900,"Nov 22, 2002",933.76,937.28,928.41,930.55,930.55,"1,626,800,000"
4901,"Nov 21, 2002",914.15,935.13,914.15,933.76,933.76,"2,415,100,000"
4902,"Nov 20, 2002",896.74,915.01,894.93,914.15,914.15,"1,517,300,000"
4903,"Nov 19, 2002",900.36,905.45,893.09,896.74,896.74,"1,337,400,000"
4904,"Nov 18, 2002",909.83,915.91,899.48,900.36,900.36,"1,282,600,000"
4905,"Nov 15, 2002",904.27,910.21,895.35,909.83,909.83,"1,400,100,000"
4906,"Nov 14, 2002",882.53,904.27,882.53,904.27,904.27,"1,519,000,000"
4907,"Nov 13, 2002",882.95,892.51,872.05,882.53,882.53,"1,463,400,000"
4908,"Nov 12, 2002",876.19,894.30,876.19,882.95,882.95,"1,377,100,000"
4909,"Nov 11, 2002",894.74,894.74,874.63,876.19,876.19,"1,113,000,000"
4910,"Nov 08, 2002",902.65,910.11,891.62,894.74,894.74,"1,446,500,000"
4911,"Nov 07, 2002",923.76,923.76,898.68,902.65,902.65,"1,466,900,000"
4912,"Nov 06, 2002",915.39,925.66,905.00,923.76,923.76,"1,674,000,000"
4913,"Nov 05, 2002",908.35,915.83,904.91,915.39,915.39,"1,354,100,000"
4914,"Nov 04, 2002",900.96,924.58,900.96,908.35,908.35,"1,645,900,000"
4915,"Nov 01, 2002",885.76,903.42,877.71,900.96,900.96,"1,450,400,000"
4916,"Oct 31, 2002",890.71,898.83,879.75,885.76,885.76,"1,641,300,000"
4917,"Oct 30, 2002",882.15,895.28,879.19,890.71,890.71,"1,422,300,000"
4918,"Oct 29, 2002",890.23,890.64,867.91,882.15,882.15,"1,529,700,000"
4919,"Oct 28, 2002",897.65,907.44,886.15,890.23,890.23,"1,382,600,000"
4920,"Oct 25, 2002",882.50,897.71,877.03,897.65,897.65,"1,340,400,000"
4921,"Oct 24, 2002",896.14,902.94,879.00,882.50,882.50,"1,700,570,000"
4922,"Oct 23, 2002",890.16,896.14,873.82,896.14,896.14,"1,593,900,000"
4923,"Oct 22, 2002",899.72,899.72,882.40,890.16,890.16,"1,549,200,000"
4924,"Oct 21, 2002",884.39,900.69,873.06,899.72,899.72,"1,447,000,000"
4925,"Oct 18, 2002",879.20,886.68,866.58,884.39,884.39,"1,423,100,000"
4926,"Oct 17, 2002",860.02,885.35,860.02,879.20,879.20,"1,780,390,000"
4927,"Oct 16, 2002",881.27,881.27,856.28,860.02,860.02,"1,585,000,000"
4928,"Oct 15, 2002",841.44,881.27,841.44,881.27,881.27,"1,956,000,000"
4929,"Oct 14, 2002",835.32,844.39,828.37,841.44,841.44,"1,200,300,000"
