날짜,종가,오픈,고가,저가,거래량,변동 %
2010년 04월 08일,"4,575.6230","4,582.7002","4,593.2002","4,548.8999",-,-0.79%
2010년 04월 07일,"4,612.0020","4,637.2998","4,647.1001","4,595.2002",-,-0.56%
2010년 04월 06일,"4,638.1851","4,625.7998","4,658.5000","4,615.0000",-,0.12%
2010년 04월 05일,"4,632.7441","4,577.7002","4,642.2002","4,571.2002",-,1.65%
2010년 04월 01일,"4,557.7002","4,532.7002","4,566.2002","4,524.2998",-,1.42%
2010년 03월 31일,"4,493.6748","4,466.3999","4,513.2002","4,451.7998",-,0.70%
2010년 03월 30일,"4,462.3232","4,460.0000","4,467.2002","4,435.2998",-,0.36%
2010년 03월 29일,"4,446.3979","4,385.7998","4,473.7998","4,381.8999",-,2.26%
2010년 03월 26일,"4,348.0229","4,386.7002","4,405.8999","4,334.6001",-,-0.41%
2010년 03월 25일,"4,366.0078","4,380.8999","4,407.6001","4,360.3999",-,-0.35%
2010년 03월 24일,"4,381.3359","4,403.5000","4,408.5000","4,356.5000",-,-1.14%
2010년 03월 23일,"4,431.7461","4,419.6001","4,451.6001","4,404.1001",-,0.02%
2010년 03월 22일,"4,430.9331","4,403.1001","4,440.6001","4,332.6001",-,0.25%
2010년 03월 19일,"4,420.0410","4,476.5000","4,479.5000","4,388.3999",-,-1.49%
2010년 03월 18일,"4,486.8301","4,480.8999","4,500.7002","4,461.7002",-,-0.53%
2010년 03월 17일,"4,510.6860","4,470.3999","4,515.6001","4,463.3999",-,1.26%
2010년 03월 16일,"4,454.4668","4,377.1001","4,471.1001","4,366.0000",-,1.77%
2010년 03월 15일,"4,376.8008","4,436.3999","4,442.0000","4,351.3999",-,-1.41%
2010년 03월 12일,"4,439.4370","4,471.7002","4,507.2998","4,416.8999",-,-0.52%
2010년 03월 11일,"4,462.6089","4,466.3999","4,479.3999","4,438.2002",-,-0.31%
2010년 03월 10일,"4,476.3149","4,460.5000","4,521.2002","4,422.0000",-,0.38%
2010년 03월 09일,"4,459.3262","4,454.2998","4,479.8999","4,414.7998",-,-0.59%
2010년 03월 08일,"4,485.7090","4,505.5000","4,509.2002","4,448.0000",-,0.16%
2010년 03월 05일,"4,478.7632","4,448.6001","4,508.5000","4,447.7002",-,1.16%
2010년 03월 04일,"4,427.5488","4,454.7998","4,483.2998","4,413.7002",-,-1.09%
2010년 03월 03일,"4,476.2329","4,418.0000","4,490.2002","4,417.7998",-,1.33%
2010년 03월 02일,"4,417.6621","4,361.6001","4,458.0000","4,346.0000",-,1.14%
2010년 03월 01일,"4,368.0171","4,448.0000","4,454.0000","4,347.5000",-,-0.92%
2010년 02월 26일,"4,408.3560","4,343.5000","4,419.3999","4,337.0000",-,1.76%
2010년 02월 25일,"4,331.9341","4,402.0000","4,403.2002","4,292.7998",-,-1.98%
2010년 02월 24일,"4,419.2432","4,368.7998","4,423.7002","4,347.7002",-,1.07%
2010년 02월 23일,"4,372.2842","4,453.8999","4,454.0000","4,360.7002",-,-1.75%
2010년 02월 22일,"4,450.1509","4,445.1001","4,468.8999","4,423.5000",-,0.08%
2010년 02월 19일,"4,446.5439","4,378.7002","4,449.6001","4,368.1001",-,0.66%
2010년 02월 18일,"4,417.3750","4,324.2002","4,418.3999","4,321.5000",-,1.32%
2010년 02월 17일,"4,359.9741","4,381.7002","4,382.7998","4,333.2998",-,0.02%
2010년 02월 16일,"4,358.9868","4,269.1001","4,377.2998","4,268.3999",-,3.25%
2010년 02월 12일,"4,221.7012","4,255.1001","4,262.3999","4,171.7998",-,-1.20%
2010년 02월 11일,"4,272.7651","4,235.1001","4,284.8999","4,188.6001",-,1.34%
2010년 02월 10일,"4,216.0601","4,177.5000","4,237.2002","4,143.2998",-,0.63%
2010년 02월 09일,"4,189.7710","4,139.5000","4,215.3999","4,130.3999",-,1.80%
2010년 02월 08일,"4,115.8530","4,128.5000","4,142.3999","4,076.5000",-,0.89%
2010년 02월 05일,"4,079.4661","4,156.7002","4,197.5000","4,018.2000",-,-2.26%
2010년 02월 04일,"4,173.8091","4,317.2998","4,317.7998","4,149.6001",-,-3.62%
2010년 02월 03일,"4,330.6382","4,393.2002","4,409.0000","4,316.3999",-,-0.62%
