"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 01월 24일","95.901","95.675","96.130","95.625","20.38K","0.28%"
"2022년 01월 21일","95.636","95.795","95.835","95.485","13.74K","-0.09%"
"2022년 01월 20일","95.725","95.530","95.850","95.405","19.14K","0.24%"
"2022년 01월 19일","95.500","95.715","95.775","95.470","17.30K","-0.23%"
"2022년 01월 18일","95.723","95.150","95.810","95.105","24.08K","0.59%"
"2022년 01월 17일","95.161","95.155","95.335","95.030","9.31K","0.00%"
"2022년 01월 14일","95.161","94.830","95.255","94.610","19.21K","0.41%"
"2022년 01월 13일","94.775","94.975","95.010","94.635","20.14K","-0.13%"
"2022년 01월 12일","94.901","95.585","95.690","94.890","28.21K","-0.76%"
"2022년 01월 11일","95.625","95.905","96.075","95.575","14.22K","-0.38%"
"2022년 01월 10일","95.990","95.740","96.230","95.735","14.98K","0.28%"
"2022년 01월 07일","95.722","96.250","96.275","95.705","22.94K","-0.63%"
"2022년 01월 06일","96.326","96.210","96.400","96.035","14.33K","0.15%"
"2022년 01월 05일","96.182","96.330","96.335","95.885","18.72K","-0.10%"
"2022년 01월 04일","96.274","96.195","96.475","96.040","12.98K","0.07%"
"2022년 01월 03일","96.211","95.600","96.330","95.600","16.79K","0.65%"
"2021년 12월 31일","95.593","95.965","96.105","95.575","15.00K","-0.39%"
"2021년 12월 30일","95.964","95.875","96.225","95.865","12.40K","0.04%"
"2021년 12월 29일","95.926","96.135","96.395","95.735","16.54K","-0.29%"
"2021년 12월 28일","96.203","96.060","96.270","95.985","9.34K","0.12%"
"2021년 12월 27일","96.086","96.095","96.245","96.035","9.30K","0.11%"
"2021년 12월 23일","95.985","96.050","96.265","95.970","10.87K","-0.08%"
"2021년 12월 22일","96.059","96.470","96.585","96.010","12.71K","-0.45%"
"2021년 12월 21일","96.489","96.515","96.625","96.335","11.66K","-0.06%"
"2021년 12월 20일","96.545","96.620","96.670","96.330","13.68K","-0.00%"
"2021년 12월 17일","96.548","95.980","96.655","95.845","13.48K","0.56%"
"2021년 12월 16일","96.015","96.375","96.405","95.810","20.68K","-0.48%"
"2021년 12월 15일","96.482","96.495","96.895","96.250","18.88K","-0.06%"
"2021년 12월 14일","96.538","96.365","96.555","96.070","13.31K","0.20%"
"2021년 12월 13일","96.345","96.065","96.430","96.065","0.78K","0.25%"
"2021년 12월 10일","96.100","96.235","96.425","95.985","8.92K","-0.16%"
"2021년 12월 09일","96.252","95.980","96.340","95.970","16.20K","0.39%"
"2021년 12월 08일","95.881","96.260","96.380","95.840","34.06K","-0.51%"
"2021년 12월 07일","96.370","96.310","96.590","96.170","24.16K","0.04%"
"2021년 12월 06일","96.330","96.175","96.435","96.125","22.19K","0.22%"
"2021년 12월 03일","96.114","96.150","96.445","95.940","18.38K","-0.05%"
"2021년 12월 02일","96.158","96.070","96.180","95.825","12.65K","0.14%"
"2021년 12월 01일","96.024","95.960","96.140","95.665","14.32K","0.02%"
"2021년 11월 30일","96.007","96.200","96.655","95.540","35.94K","-0.34%"
"2021년 11월 29일","96.338","96.180","96.450","96.145","15.61K","0.24%"
"2021년 11월 26일","96.104","96.730","96.770","96.010","22.02K","-0.79%"
"2021년 11월 25일","96.872","96.775","96.800","96.660","5.77K","0.00%"
"2021년 11월 24일","96.872","96.535","96.940","96.440","14.11K","0.39%"
"2021년 11월 23일","96.494","96.465","96.615","96.315","15.18K","-0.05%"
"2021년 11월 22일","96.544","96.075","96.560","96.040","21.84K","0.54%"
"2021년 11월 19일","96.028","95.580","96.245","95.580","25.09K","0.51%"
"2021년 11월 18일","95.542","95.805","95.850","95.525","15.32K","-0.30%"
"2021년 11월 17일","95.829","95.925","96.270","95.725","18.18K","-0.09%"
"2021년 11월 16일","95.911","95.485","95.980","95.400","20.58K","0.53%"
"2021년 11월 15일","95.405","95.100","95.595","94.965","17.87K","0.29%"
"2021년 11월 12일","95.128","95.215","95.270","94.995","13.25K","-0.05%"
"2021년 11월 11일","95.175","94.880","95.195","94.835","18.19K","0.36%"
"2021년 11월 10일","94.838","93.980","94.900","93.965","28.37K","0.94%"
"2021년 11월 09일","93.956","94.100","94.155","93.865","21.81K","-0.09%"
