,date,doller,fed,gdp,cpi,sp_close,sp_volume,mi_close,mi_volume,gsci_close,unem,infl,pmi
8077,1989-05-17,101.870003,9.92,5612.463,123.7,317.48,191210000.0,94.88,23090.0,1538.8101,5.2,5.4,49.3
8078,1989-05-16,100.309998,9.76,5612.463,123.7,315.28,173100000.0,94.66,12400.0,1557.84,5.2,5.4,49.3
8079,1989-05-15,100.43,9.79,5612.463,123.7,316.16,179350000.0,94.78,21360.0,1565.1899,5.2,5.4,49.3
8080,1989-05-12,99.440002,9.67,5612.463,123.7,313.84,221490000.0,94.84,41260.0,1565.42,5.2,5.4,49.3
8081,1989-05-11,99.160004,9.74,5612.463,123.7,306.95,151620000.0,93.03,35590.0,1565.11,5.2,5.4,49.3
8082,1989-05-10,98.559998,9.77,5612.463,123.7,305.8,146000000.0,92.72,29090.0,1546.3,5.2,5.4,49.3
8083,1989-05-09,98.900002,9.79,5612.463,123.7,305.19,150090000.0,92.88,29700.0,1550.4,5.2,5.4,49.3
8084,1989-05-08,98.959999,9.84,5612.463,123.7,306.0,135130000.0,93.56,15990.0,1543.16,5.2,5.4,49.3
8085,1989-05-05,98.419998,9.9,5612.463,123.7,307.61,180810000.0,93.91,29900.0,1564.3199,5.2,5.4,49.3
8086,1989-05-04,98.330002,9.91,5612.463,123.7,307.77,153130000.0,93.41,15350.0,1585.37,5.2,5.4,49.3
8087,1989-05-03,98.269997,10.15,5612.463,123.7,308.16,171690000.0,93.47,19560.0,1572.9399,5.2,5.4,49.3
8088,1989-05-02,98.129997,9.83,5612.463,123.7,308.12,172560000.0,93.31,12010.0,1570.29,5.2,5.4,49.3
8089,1989-05-01,98.18,9.85,5612.463,123.7,309.12,138050000.0,92.97,10860.0,1593.22,5.2,5.4,49.3
8090,1989-04-28,97.709999,9.82,5612.463,123.1,309.64,158390000.0,93.62,19360.0,1577.91,5.2,5.1,52.2
8091,1989-04-27,97.440002,9.85,5612.463,123.1,309.58,191170000.0,93.47,25230.0,1592.0699,5.2,5.1,52.2
