date,doller,fed,sp_data,sp_updown
1971-08-02,-0.0252601881902996,0.1299999999999999,95.96,1
1971-08-03,0.0252538090306133,0.1299999999999999,94.51,0
1971-08-04,0.01683107510867,0.1200000000000001,93.89,0
1971-08-05,-0.1686173158366268,-0.1200000000000001,94.09,1
1971-08-06,-0.0590517963636538,-0.1200000000000001,94.25,1
1971-08-09,0.0337333440085365,-0.1299999999999999,93.53,0
1971-08-10,-0.4659857702786133,0.1299999999999999,93.54,1
1971-08-11,0.0592709578199956,-0.1299999999999999,94.66,1
1971-08-12,-0.0508276850997278,0.1299999999999999,96.0,1
1971-08-13,-0.1867263622475051,0.1299999999999999,95.69,0
1971-08-16,0.0169687717912058,-0.1299999999999999,98.76,1
1971-08-17,0.0,0.1299999999999999,99.99,1
1971-08-18,0.0,-0.1299999999999999,98.6,0
1971-08-19,0.0,-0.1299999999999999,98.16,0
1971-08-20,0.0,-0.1299999999999999,98.33,1
1971-08-23,0.0,-0.1299999999999999,99.25,1
1971-08-24,0.0,-0.1299999999999999,100.4,1
1971-08-25,0.0,-0.1200000000000001,100.41,1
1971-08-26,0.0,0.1200000000000001,100.24,0
1971-08-27,0.0,0.1200000000000001,100.48,1
1971-08-30,0.0,0.1299999999999999,99.52,0
1971-08-31,0.0,0.1200000000000001,99.03,0
1971-09-01,-1.1762642639627032,0.1200000000000001,99.07,1
1971-09-02,0.0943566633323585,-0.1200000000000001,99.29,1
1971-09-03,-0.1976828568574568,0.1200000000000001,100.69,1
1971-09-07,0.0257767664317809,0.1200000000000001,101.15,1
1971-09-08,0.0343592172197114,0.1200000000000001,101.34,1
1971-09-09,0.0,0.1200000000000001,100.8,0
1971-09-10,-0.0257745512997243,0.1200000000000001,100.42,0
1971-09-13,-0.0601779573590181,-0.1200000000000001,100.07,0
1971-09-14,-0.0257967148869398,-0.25,99.34,0
1971-09-15,-0.2240817049390822,-0.25,99.77,1
1971-09-16,-0.0689969832427054,0.3700000000000001,99.66,0
1971-09-17,-0.0172492021047092,-0.0599999999999996,99.96,1
1971-09-20,-0.0172513150806259,-0.0600000000000005,99.68,0
1971-09-21,-0.3376099464406989,0.1200000000000001,99.34,0
1971-09-22,0.0346149192560469,0.1200000000000001,98.47,0
1971-09-23,-0.1212961379534821,0.1200000000000001,98.38,0
1971-09-24,-0.3390411226553197,0.1200000000000001,98.15,0
1971-09-27,-0.0608907451364951,-0.1200000000000001,97.62,0
1971-09-28,0.0608536908706809,-0.1200000000000001,97.88,1
1971-09-29,0.0260724843746211,-0.1299999999999999,97.9,1
1971-09-30,-0.1131105890541949,0.1299999999999999,98.34,1
1971-10-01,0.0,0.1299999999999999,98.93,1
1971-10-04,-0.1045222559798439,0.1299999999999999,99.21,1
1971-10-05,0.0261215613417525,0.1299999999999999,99.11,0
1971-10-06,-0.0087033003796395,-0.3799999999999999,99.82,1
1971-10-07,-0.0784416956325843,0.25,100.02,1
1971-10-08,-0.026152035795941,0.25,99.36,0
1971-10-12,-0.0087201397224099,0.25,99.57,1
1971-10-13,-0.034879642948552,0.25,99.03,0
1971-10-14,0.0871366314545719,-0.1200000000000001,98.13,0
1971-10-15,0.1044524748725428,-0.1299999999999999,97.79,0
1971-10-18,-0.0522530917958629,-0.1200000000000001,97.35,0
1971-10-19,-0.1570141325629199,-0.1299999999999999,97.0,0
1971-10-20,0.0174472346957162,-0.25,95.65,0
1971-10-21,-0.0348987951082183,0.25,95.6,0
1971-10-22,-0.0349109786191169,0.25,95.57,0
1971-10-26,0.0174485168839236,0.25,94.74,0
1971-10-27,-0.0611184847735794,0.75,93.79,0
1971-10-28,0.0959525479409673,-0.6200000000000001,93.96,1
1971-10-29,-0.0349048871711182,-0.6200000000000001,94.23,1
1971-11-01,0.0436144780878427,-0.6200000000000001,92.8,0
1971-11-03,-0.0174518019048692,0.25,94.91,1
1971-11-04,-0.0087192459766434,-0.3799999999999999,94.79,0
1971-11-05,0.0523168817579437,-0.3799999999999999,94.46,0
1971-11-08,-0.0960111722091417,-0.1200000000000001,94.39,0
1971-11-09,0.0436250206693885,-0.1200000000000001,94.46,1
1971-11-10,0.0174424286238925,-0.1299999999999999,93.41,0
1971-11-11,0.0348805371468466,-0.1299999999999999,92.12,0
1971-11-12,-0.034892707910791,0.1299999999999999,92.12,0
1971-11-15,-0.0436364444938141,0.1200000000000001,91.81,0
1971-11-16,-0.0436485066906849,0.1200000000000001,92.71,1
1971-11-17,0.0,-0.25,92.85,1
1971-11-18,0.0,-0.25,92.13,0
1971-11-19,0.0349109786191045,-0.25,91.61,0
1971-11-22,-0.1836137050726459,0.1299999999999999,90.79,0
1971-11-23,-0.052493221109149,0.1200000000000001,90.16,0
1971-11-24,-0.1050845064351485,0.1299999999999999,90.33,1
1971-11-26,-0.1842419674265235,-0.1299999999999999,91.94,1
1971-11-29,-0.0438892302290788,-0.3700000000000001,93.41,1
1971-11-30,0.0,-0.3799999999999999,93.99,1
1971-12-01,0.0701710363973094,-0.5,95.44,1
1971-12-02,-0.1317416113495407,0.75,95.84,1
1971-12-03,-0.246521390270801,0.75,97.06,1
