"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",96.93558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",97.1088,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",97.32469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",97.50919,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",97.61343,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",97.62395,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",97.56985,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",97.46605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",97.3455,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",97.25481,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",97.20478,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",97.20778,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",97.28131,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",97.42906,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",97.67677,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",98.0645,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",98.61428,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.28437,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",100.0464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.8904,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.7368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",102.5507,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",103.3043,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",103.9851,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",104.5946,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",105.1012,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",105.5558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",106.0065,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",106.3943,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",106.5934,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",106.5537,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",106.3612,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",106.1231,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",105.9057,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",105.7564,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",105.624,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",105.4581,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",105.2265,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",104.9784,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",104.7334,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",104.4802,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",104.1945,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",103.838,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",103.3347,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",102.6295,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",101.7098,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.6539,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.50436,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.34894,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",97.34814,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",96.63383,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",96.13203,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",95.77187,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",95.50861,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",95.25758,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",94.95232,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",94.6395,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",94.36296,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",94.12523,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",93.99907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",94.05859,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",94.34429,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",94.80702,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",95.36929,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",95.96643,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",96.55756,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",97.0891,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",97.53185,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",97.92167,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.32598,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.7122,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",99.1574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.65083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",100.1521,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",100.5839,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",100.9016,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",101.0581,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",101.0096,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.7733,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",100.4328,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",100.04,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.67284,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.43631,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.35507,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.39758,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.57239,
