"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1999년 05월 05일","2,314.6050","2,314.6050","2,314.6050","2,314.6050","-","0.08%"
"1999년 05월 04일","2,312.7971","2,312.7971","2,312.7971","2,312.7971","-","0.44%"
"1999년 05월 03일","2,302.5911","2,302.5911","2,302.5911","2,302.5911","-","0.44%"
"1999년 04월 30일","2,292.4021","2,292.4021","2,292.4021","2,292.4021","-","0.15%"
"1999년 04월 29일","2,289.0071","2,289.0071","2,289.0071","2,289.0071","-","0.47%"
"1999년 04월 28일","2,278.2690","2,278.2690","2,278.2690","2,278.2690","-","1.77%"
"1999년 04월 27일","2,238.7429","2,238.7429","2,238.7429","2,238.7429","-","0.33%"
"1999년 04월 26일","2,231.3159","2,231.3159","2,231.3159","2,231.3159","-","-0.58%"
"1999년 04월 23일","2,244.4331","2,244.4331","2,244.4331","2,244.4331","-","-0.31%"
"1999년 04월 22일","2,251.3269","2,251.3269","2,251.3269","2,251.3269","-","0.33%"
"1999년 04월 21일","2,243.8640","2,243.8640","2,243.8640","2,243.8640","-","0.77%"
"1999년 04월 20일","2,226.6411","2,226.6411","2,226.6411","2,226.6411","-","-0.35%"
"1999년 04월 19일","2,234.4890","2,234.4890","2,234.4890","2,234.4890","-","0.93%"
"1999년 04월 16일","2,213.9561","2,213.9561","2,213.9561","2,213.9561","-","1.02%"
"1999년 04월 15일","2,191.6631","2,191.6631","2,191.6631","2,191.6631","-","1.10%"
"1999년 04월 14일","2,167.8989","2,167.8989","2,167.8989","2,167.8989","-","-1.00%"
"1999년 04월 13일","2,189.7129","2,189.7129","2,189.7129","2,189.7129","-","0.98%"
"1999년 04월 12일","2,168.4409","2,168.4409","2,168.4409","2,168.4409","-","-0.52%"
"1999년 04월 09일","2,179.8730","2,179.8730","2,179.8730","2,179.8730","-","2.19%"
"1999년 04월 08일","2,133.2280","2,133.2280","2,133.2280","2,133.2280","-","-0.83%"
"1999년 04월 07일","2,151.0691","2,151.0691","2,151.0691","2,151.0691","-","-2.31%"
"1999년 04월 06일","2,201.8950","2,201.8950","2,201.8950","2,201.8950","-","-0.03%"
"1999년 04월 05일","2,202.4819","2,202.4819","2,202.4819","2,202.4819","-","0.74%"
"1999년 04월 01일","2,186.3020","2,186.3020","2,186.3020","2,186.3020","-","-0.69%"
"1999년 03월 31일","2,201.4241","2,201.4241","2,201.4241","2,201.4241","-","-0.22%"
"1999년 03월 30일","2,206.3000","2,206.3000","2,206.3000","2,206.3000","-","0.92%"
"1999년 03월 29일","2,186.1121","2,186.1121","2,186.1121","2,186.1121","-","0.49%"
"1999년 03월 26일","2,175.4360","2,175.4360","2,175.4360","2,175.4360","-","1.83%"
"1999년 03월 25일","2,136.3730","2,136.3730","2,136.3730","2,136.3730","-","1.69%"
"1999년 03월 24일","2,100.9661","2,100.9661","2,100.9661","2,100.9661","-","-0.79%"
"1999년 03월 23일","2,117.7839","2,117.7839","2,117.7839","2,117.7839","-","-0.68%"
"1999년 03월 22일","2,132.3879","2,132.3879","2,132.3879","2,132.3879","-","1.99%"
"1999년 03월 19일","2,090.7700","2,090.7700","2,090.7700","2,090.7700","-","0.82%"
"1999년 03월 18일","2,073.8511","2,073.8511","2,073.8511","2,073.8511","-","-0.21%"
"1999년 03월 17일","2,078.2690","2,078.2690","2,078.2690","2,078.2690","-","2.23%"
"1999년 03월 16일","2,032.9960","2,032.9960","2,032.9960","2,032.9960","-","0.31%"
"1999년 03월 15일","2,026.7010","2,026.7010","2,026.7010","2,026.7010","-","-0.58%"
"1999년 03월 12일","2,038.5730","2,038.5730","2,038.5730","2,038.5730","-","-0.05%"
"1999년 03월 11일","2,039.5980","2,039.5980","2,039.5980","2,039.5980","-","-1.39%"
"1999년 03월 10일","2,068.2629","2,068.2629","2,068.2629","2,068.2629","-","3.04%"
"1999년 03월 09일","2,007.3240","2,007.3240","2,007.3240","2,007.3240","-","0.47%"
"1999년 03월 08일","1,997.9050","1,997.9050","1,997.9050","1,997.9050","-","1.30%"
"1999년 03월 05일","1,972.3480","1,972.3480","1,972.3480","1,972.3480","-","0.47%"
"1999년 03월 04일","1,963.1990","1,963.1990","1,963.1990","1,963.1990","-","1.58%"
"1999년 03월 03일","1,932.6801","1,932.6801","1,932.6801","1,932.6801","-","1.17%"
"1999년 03월 02일","1,910.2800","1,910.2800","1,910.2800","1,910.2800","-","1.17%"
"1999년 03월 01일","1,888.2340","1,888.2340","1,888.2340","1,888.2340","-","0.26%"
"1999년 02월 26일","1,883.2870","1,883.2870","1,883.2870","1,883.2870","-","-1.81%"
"1999년 02월 25일","1,918.0370","1,918.0370","1,918.0370","1,918.0370","-","0.42%"
"1999년 02월 24일","1,910.0000","1,910.0000","1,910.0000","1,910.0000","-","-0.28%"
"1999년 02월 23일","1,915.3621","1,915.3621","1,915.3621","1,915.3621","-","1.46%"
"1999년 02월 22일","1,887.8390","1,887.8390","1,887.8390","1,887.8390","-","-0.12%"
"1999년 02월 19일","1,890.1930","1,890.1930","1,890.1930","1,890.1930","-","-0.59%"
"1999년 02월 18일","1,901.4919","1,901.4919","1,901.4919","1,901.4919","-","1.48%"
"1999년 02월 17일","1,873.7010","1,873.7010","1,873.7010","1,873.7010","-","0.23%"
"1999년 02월 16일","1,869.3140","1,869.3140","1,869.3140","1,869.3140","-","-2.11%"
"1999년 02월 12일","1,909.5770","1,909.5770","1,909.5770","1,909.5770","-","-0.17%"
"1999년 02월 11일","1,912.7390","1,912.7390","1,912.7390","1,912.7390","-","-0.22%"
"1999년 02월 10일","1,916.9150","1,916.9150","1,916.9150","1,916.9150","-","-0.23%"
"1999년 02월 09일","1,921.4170","1,921.4170","1,921.4170","1,921.4170","-","-0.54%"
"1999년 02월 08일","1,931.8990","1,931.8990","1,931.8990","1,931.8990","-","-0.26%"
"1999년 02월 05일","1,936.8920","1,936.8920","1,936.8920","1,936.8920","-","-0.38%"
"1999년 02월 04일","1,944.3361","1,944.3361","1,944.3361","1,944.3361","-","-0.59%"
"1999년 02월 03일","1,955.8080","1,955.8080","1,955.8080","1,955.8080","-","0.03%"
"1999년 02월 02일","1,955.3190","1,955.3190","1,955.3190","1,955.3190","-","0.33%"
"1999년 02월 01일","1,948.9590","1,948.9590","1,948.9590","1,948.9590","-","-1.28%"
"1999년 01월 29일","1,974.2280","1,974.2280","1,974.2280","1,974.2280","-","0.69%"
"1999년 01월 28일","1,960.7850","1,960.7850","1,960.7850","1,960.7850","-","0.91%"
"1999년 01월 27일","1,943.1830","1,943.1830","1,943.1830","1,943.1830","-","0.77%"
"1999년 01월 26일","1,928.2469","1,928.2469","1,928.2469","1,928.2469","-","-0.95%"
"1999년 01월 25일","1,946.7250","1,946.7250","1,946.7250","1,946.7250","-","-1.30%"
"1999년 01월 22일","1,972.2939","1,972.2939","1,972.2939","1,972.2939","-","0.47%"
"1999년 01월 21일","1,963.1450","1,963.1450","1,963.1450","1,963.1450","-","1.67%"
"1999년 01월 20일","1,930.9189","1,930.9189","1,930.9189","1,930.9189","-","-0.84%"
"1999년 01월 19일","1,947.2080","1,947.2080","1,947.2080","1,947.2080","-","-1.06%"
"1999년 01월 15일","1,968.0920","1,968.0920","1,968.0920","1,968.0920","-","-0.23%"
"1999년 01월 14일","1,972.5620","1,972.5620","1,972.5620","1,972.5620","-","-0.51%"
"1999년 01월 13일","1,982.6030","1,982.6030","1,982.6030","1,982.6030","-","-2.49%"
"1999년 01월 12일","2,033.1949","2,033.1949","2,033.1949","2,033.1949","-","-1.65%"
"1999년 01월 11일","2,067.3540","2,067.3540","2,067.3540","2,067.3540","-","1.05%"
"1999년 01월 08일","2,045.9150","2,045.9150","2,045.9150","2,045.9150","-","0.38%"
"1999년 01월 07일","2,038.2490","2,038.2490","2,038.2490","2,038.2490","-","0.21%"
"1999년 01월 06일","2,033.9860","2,033.9860","2,033.9860","2,033.9860","-","2.98%"
"1999년 01월 05일","1,975.1450","1,975.1450","1,975.1450","1,975.1450","-","-0.86%"
"1999년 01월 04일","1,992.3250","1,992.3250","1,992.3250","1,992.3250","-","1.36%"
"1998년 12월 31일","1,965.6479","1,965.6479","1,965.6479","1,965.6479","-","1.04%"
"1998년 12월 30일","1,945.4301","1,945.4301","1,945.4301","1,945.4301","-","-0.22%"
"1998년 12월 29일","1,949.7920","1,949.7920","1,949.7920","1,949.7920","-","1.03%"
"1998년 12월 28일","1,929.9900","1,929.9900","1,929.9900","1,929.9900","-","0.60%"
